METALL 1,00K;10
METALL 1,50K;10
METALL 2,00K;10
METALL 4,70K;10
METALL 10,0K;10
P6KE 27A;2
WUE 74271132;1
BL 1X20G8 2,54;4
SL 1X40G 2,54;3
RAD FR 470 - 25;2
X7R-2,5 100N;20
X7R-G1206 10 - 25;5
SICHERUNG 2,0AT;3
